Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,TMDB ID
2023-09-18,A Monster Calls,2016,https://boxd.it/4RyCq9,5,,"source:alternative, genre:drama, genre:family, genre:fantasy",2023-09-18,258230
2023-09-19,The Way of the Gun,2000,https://boxd.it/4RJ8OR,2,,"source:alternative, genre:crime, genre:drama, gerne:action",2023-09-18,1619
2023-09-22,The Pelican Brief,1993,https://boxd.it/4SwMa1,5,,"source:alternative, genre:thriller, genre:drama, genre:mistery",2023-09-21,9944
2023-09-23,Shutter Island,2010,https://boxd.it/4SLBzp,5,,"source:netflix, genre:drama, genre:mistery, genre:thriller",2023-09-22,11324
2023-09-25,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/4Twkcd,4,,"source:sky, genre:adventure, genre:comedy, genre:fantasy",2023-09-25,493529
2023-09-26,In a Valley of Violence,2016,https://boxd.it/4TTDZp,3,,"source:sky, genre:action, genre:western",2023-09-26,291356
2023-09-27,The Neon Demon,2016,https://boxd.it/4U4xbl,2.5,,"source:alternative, genre:thiller, genre:drama",2023-09-27,301365
2023-09-28,The Wonderful Story of Henry Sugar,2023,https://boxd.it/4Ud3Rz,5,,"source:netflix, genre:drama, adaptation:book, genre:comedy",2023-09-27,923939
2023-09-29,The Swan,2023,https://boxd.it/4UsMdJ,5,,"source:netflix, genre:drama",2023-09-28,1172675
2023-09-30,The Rat Catcher,2023,https://boxd.it/4UK14B,5,,"source:netflix, genre:thriller, genre:comedy",2023-09-29,1172674
2023-10-01,Poison,2023,https://boxd.it/4V48Az,4,,"source:netflix, genre:comedy, genre:thriller",2023-09-30,1172676
2023-10-02,A Boy and His Dog,1975,https://boxd.it/4VG15F,3,,"source:youtube, genre:sci-fi, genre:adventure, genre:action, genre:thriller",2023-10-02,4917
2023-10-03,Bye Bye Birdie,1963,https://boxd.it/4VQCv1,3,,"source:alternative, genre:musical, genre:comedy, adaptation:play",2023-10-02,25167
2023-10-06,Cloak and Dagger,1946,https://boxd.it/4WVo9T,3,,"source:youtube, genre:adventure, genre:romance, genre:action, genre:mistery",2023-10-06,44043
2023-10-09,No One Will Save You,2023,https://boxd.it/4XQ1VJ,5,,"genre:drama, genre:sci-fi, source:disney+, tmdb_id:820609",2023-10-08
2023-10-10,A Pigeon Sat on a Branch Reflecting on Existence,2014,https://boxd.it/4YluuT,3.5,,"genre:drama, genre:comedy, source:mubi, tmdb_id:110390",2023-10-10
2023-10-15,Brotherhood of the Wolf,2001,https://boxd.it/504ZRD,4,,"source:alternative, genre:thriller, genre:action, tmdb_id:6312",2023-10-14
2023-10-16,American Pop,1981,https://boxd.it/50kVgZ,4,,"source:alternative, genre:musical, genre:drama, style:animation, tmdb_id:29204",2023-10-16
2023-10-19,Timecrimes,2007,https://boxd.it/516Xkl,5,,"source:alternative, genre:sci-fi, genre:thriller, tmdb_id:14139",2023-10-18
2023-10-26,Uncharted,2022,https://boxd.it/53oDiD,4,,"source:netflix, genre:action, genre:adventure, genre:comedy, adaptation:game, tmdb_id:335787",2023-10-24
2023-10-26,Titus,1999,https://boxd.it/53ziMT,5,,"source:alternative, genre:drama, genre:crime, adaptation:play, tmdb_id:12524",2023-10-26
2023-10-28,Broken Flowers,2005,https://boxd.it/54gvr1,5,,"source:alternative, genre:comedy, genre:adventure, tmdb_id:308",2023-10-28
2023-10-30,The Lost Boys,1987,https://boxd.it/5566vh,4,,"source:alternative, genre:comedy, genre:horror, tmdb_id:1547",2023-10-30
2023-11-02,Morbius,2022,https://boxd.it/55WmZB,2,,"source:netflix, genre:sci-fi, genre:action, genre:horror, tmdb_id:526896",2023-11-01
2023-11-04,Cocaine Bear,2023,https://boxd.it/56NwvH,2.5,,"source:sky, genre:comedy, genre:drama, genre:crime, tmdb_id:804150, adaptation:facts",2023-11-04
2023-11-11,The After,2023,https://boxd.it/58MZnX,4,,"source:netflix, genre:drama, tmdb_id:1169455",2023-11-10
2023-11-11,Escape from Sobibor,1987,https://boxd.it/58Zoxd,5,,"source:internet, adaptation:facts, genre:drama, genre:war, tmdb_id:25318",2023-11-11
2023-11-12,Robin Hood: Men in Tights,1993,https://boxd.it/59mb0r,5,,"source:netflix, genre:comedy, genre:action, genre:adventure, tmdb_id:8005, genre:musical",2023-11-12
2023-11-13,Quiz Lady,2023,https://boxd.it/59nVtr,4.5,,"source:disney+, genre:comedy, tmdb_id:787781, genre:adventure",2023-11-12
2023-11-15,Code 8,2019,https://boxd.it/5aafe3,2.5,,"source:netflix, genre:action, genre:drama, genre:sci-fi, tmdb_id:461130",2023-11-14
2023-11-18,The Killer,2023,https://boxd.it/5b3vWP,4.5,,"source:netflix, tmdb_id:800158, genre:drama, adaptation:comics, genre:crime",2023-11-18
2023-11-21,Blue Beetle,2023,https://boxd.it/5bY5Gv,3.5,,"source:hbomax, genre:action, genre:comedy, genre:drama, tmdb_id:565770",2023-11-20
2023-11-23,Dracula: Dead and Loving It,1995,https://boxd.it/5cIjXx,4,,"source:alternative, genre:comedy, tmdb_id:12110, adaptation:movie",2023-11-22
2023-11-26,Weird: The Al Yankovic Story,2022,https://boxd.it/5dyQgZ,4,Yes,"source:alternative, genre:comedy, genre:documentary, genre:mockumentary, genre:biography, adaptation:facts, tmdb_id:928344",2023-11-24
2023-11-26,Once Upon a Studio,2023,https://boxd.it/5dyYK9,2.5,,"source:disney+, genre:comedy, tmdb_id:1139087, style:animation",2023-11-25
2023-11-27,Barbie,2023,https://boxd.it/5e9PkP,5,,"source:appletv, genre:comedy, genre:drama, adaptation:toy, tmdb_id:346698",2023-11-26
2023-11-27,The Boy and the Heron,2023,https://boxd.it/5e9S2z,5,,"source:theater, genre:adventure, genre:drama, style:animation, tmdb_id:508883",2023-11-26
2023-11-27,A Haunting in Venice,2023,https://boxd.it/5eqgdD,4.5,,"genre:mistery, source:disney+, genre:horror, genre:crime, tmdb_id:945729, adaptation:book",2023-11-27
2023-11-27,Venom: Let There Be Carnage,2021,https://boxd.it/5eqkhz,3,,"source:netflix, genre:action, genre:comedy, adaptation:comics, tmdb_id:580489",2023-11-27
2023-11-30,Nimona,2023,https://boxd.it/5f6bDb,4,,"source:netflix, tmdb_id:961323, genre:action, genre:adventure, style:animation",2023-11-29
2023-12-01,Variações: Guardian Angel,2019,https://boxd.it/5fsXMz,5,,"source:rtpplay, genre:biography, genre:drama, adaptation:facts, tmdb_id:529459",2023-11-30
2023-12-01,American Symphony,2023,https://boxd.it/5ftv1d,4,,"source:netflix, genre:documentary, genre:drama, tmdb_id:1171816",2023-11-30
2023-12-04,Ice Merchants,2022,https://boxd.it/5gJgsz,5,,"source:hbomax, genre:adventure, style:animation, tmdb_id:965171",2023-12-01
2023-12-04,The Shepherd,2023,https://boxd.it/5gJokD,4,,"source:disney+, genre:adventure, tmdb_id:1116488, genre:thriller",2023-12-03
2023-12-08,Zero Dark Thirty,2012,https://boxd.it/5hWCeT,4.5,,"source:alternative, genre:drama, genre:action, tmdb_id:97630",2023-12-08
2023-12-10,The King of Comedy,1982,https://boxd.it/5iiDxr,5,,"source:disney+, genre:drama, genre:comedy, tmdb_id:262",2023-12-09
2023-12-11,Family Switch,2023,https://boxd.it/5j2qqJ,5,,"source:netflix, genre:comedy, genre:adventure, genre:family, tmdb_id:798021",2023-12-11
2023-12-15,Merry Little Batman,2023,https://boxd.it/5kltUJ,5,,"source:primevideo, genre:action, genre:adventure, style:animation, tmdb_id:870358",2023-12-14
2023-12-17,Leave the World Behind,2023,https://boxd.it/5kRUIJ,5,,"source:netflix, genre:sci-fi, genre:drama, tmdb_id:726209",2023-12-16
2023-12-18,Chicken Run: Dawn of the Nugget,2023,https://boxd.it/5lBYcp,5,,"source:netflix, genre:action, genre:adventure, genre:comedy, style:animation, tmdb_id:520758",2023-12-18
2023-12-19,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/5lOX3H,5,,"source:disney+, genre:adventure, genre:action, tmdb_id:335977",2023-12-18
2023-12-20,Portrait of God,2022,https://boxd.it/5m1m9z,4,,"source:youtube, genre:horror, genre:thriller, tmdb_id:1028070",2023-12-19
2023-12-22,Maestro,2023,https://boxd.it/5mQx27,5,,"source:netflkix, genre:biography, adaptation:facts, genre:drama, tmdb_id:523607",2023-12-21
2023-12-22,Coraline,2009,https://boxd.it/5n6OYp,5,Yes,"source:alternative, genre:adventure, genre:thriller, genre:horror, style:animation, tmdb_id:14836, adaptation:book",2023-12-22
2023-12-30,Rebel Moon - Part One: A Child of Fire,2023,https://boxd.it/5r4kT7,3.5,,"source:netflix, genre:sci-fi, genre:adventure, gerne:action, tmdb_id:848326",2023-12-29
2023-12-30,Saltburn,2023,https://boxd.it/5r4rVz,3,,"source:primevideo, source:drama, source:thriller, tmdb_id:930564",2023-12-29
2023-12-31,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/5rZpQh,5,,"source:alternative, genre:action, genre:adventure, style:animation, genre:comedy, genre:drama, tmdb_id:569094",2023-12-31
