Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-06-26,The Disaster Artist,2017,https://boxd.it/1X38Rd,4,,alternative,2021-06-23
2021-06-27,Argo,2012,https://boxd.it/1X4ItN,5,,alternative,2021-06-24
2021-08-27,A Song of Lisbon,2016,https://boxd.it/25WDi1,3,,netflix,2021-06-28
2021-08-27,America: The Motion Picture,2021,https://boxd.it/25WE3B,2,,netflix,2021-07-05
2021-08-27,The Rainmaker,1997,https://boxd.it/25WEQj,5,,netflix,2021-07-07
2021-08-27,The Color of Money,1986,https://boxd.it/25WFtZ,4,,disney+,2021-07-08
2021-08-27,How I Became a Superhero,2020,https://boxd.it/25WGeL,3,,netflix,2021-07-16
2021-08-27,Black Widow,2021,https://boxd.it/25WFPr,4,,disney+,2021-07-17
2021-08-27,The Magnificent Seven,2016,https://boxd.it/25WGNh,5,,netflix,2021-07-18
2021-08-27,Major Grom: Plague Doctor,2021,https://boxd.it/25WH93,5,,netflix,2021-07-20
2021-08-27,Colossal,2016,https://boxd.it/25WHrB,4,,alternative,2021-07-24
2021-08-27,Jackie,2016,https://boxd.it/25WHLB,4,,alternative,2021-07-28
2021-08-27,Mute,2018,https://boxd.it/25WIbf,4,,netflix,2021-08-01
2021-08-27,Knives Out,2019,https://boxd.it/25WIMl,5,,alternative,2021-08-02
2021-08-27,Charade,1963,https://boxd.it/25WK8H,5,,youtube,2021-08-09
2021-08-27,Wild,2014,https://boxd.it/25WKrT,5,,disney+,2021-08-10
2021-08-27,Bloodshot,2020,https://boxd.it/25WL1x,3.5,,netflix,2021-08-10
2021-08-27,The Suicide Squad,2021,https://boxd.it/25X7JV,5,,alternative,2021-08-13
2021-08-27,End of Days,1999,https://boxd.it/25X9BJ,3.5,,disney+,2021-08-14
2021-08-27,Powder,1995,https://boxd.it/25Xb5v,5,,disney+,2021-08-15
2021-08-27,Office Space,1999,https://boxd.it/25XbE1,5,,disney+,2021-08-17
2021-08-27,Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,2017,https://boxd.it/25XccR,5,,netflix,2021-08-19
2021-08-27,I'm Thinking of Ending Things,2020,https://boxd.it/25WJBj,5,,netflix,2021-08-20
2021-08-27,Skyrunners,2009,https://boxd.it/25XdlP,3.5,,disney+,2021-08-21
2021-08-27,The East,2013,https://boxd.it/25XkmF,5,,disney+,2021-08-22
2021-08-27,Now You See Me 2,2016,https://boxd.it/25XkLF,3,,netflix,2021-08-22
2021-08-27,The Rocketeer,1991,https://boxd.it/25Xlab,4,,disney+,2021-08-23
2021-08-27,Pathfinder,2007,https://boxd.it/25XlQL,4,,alternative,2021-08-25
2021-09-04,Adventures in Babysitting,1987,https://boxd.it/2757bp,5,,disney+,2021-08-30
2021-09-12,The Ridiculous 6,2015,https://boxd.it/28d5ml,1.5,,netflix,2021-09-10
2021-09-12,Circle,2015,https://boxd.it/28cv2z,3,,netflix,2021-09-11
2021-09-12,The Platform,2019,https://boxd.it/28lr7t,3,,netflix,2021-09-11
2021-11-06,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/2glkIJ,4,,netflix,2021-09-13
2021-11-06,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/2glmIV,5,,netflix,2021-09-14
2021-11-06,Prisoners of the Lost Universe,1983,https://boxd.it/2gloIt,1,,netflix,2021-09-16
2021-11-06,The Raiders of Atlantis,1983,https://boxd.it/2glp7D,1,,netflix,2021-09-17
2021-11-06,This Is Spinal Tap,1984,https://boxd.it/2glppx,5,,alternative,2021-09-25
2021-11-06,Hitchcock,2012,https://boxd.it/2glq6r,4,,disney+,2021-10-15
2021-11-06,Robin Hood,1991,https://boxd.it/2glqgL,4,,disney+,2021-10-21
2021-11-06,Books of Blood,2020,https://boxd.it/2gtv3X,4,,disney+,2021-11-06
2021-11-08,Lucy in the Sky,2019,https://boxd.it/2gJf51,2.5,,disney+,2021-11-07
2021-11-09,The Beach,2000,https://boxd.it/2gXZ8t,4,,disney+,2021-11-08
2021-11-20,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/2ixUk1,4,,disney+,2021-11-13
2021-11-20,Jungle Cruise,2021,https://boxd.it/2ixWfd,3.5,,disney+,2021-11-17
2021-11-20,Sonic the Hedgehog,2020,https://boxd.it/2ixVhd,3.5,,netflix,2021-11-18
2021-11-20,Crazy Heart,2009,https://boxd.it/2izDhN,3.5,,disney+,2021-11-19
2021-11-29,Morgan,2016,https://boxd.it/2jVk5L,4,,disney+,2021-11-23
