TV_Show,Season,Source,TMDB_ID
Extrapolations,1,Apple TV,138169
Silo,1,Apple TV,125988
Black Mirror,6,Netflix,42009
Secret Invasion,1,Disney Plus,114472
Star Trek: Strange New Worlds,2,SkyShowTime,103516
Futurama,8,Disney Plus,615
Disenchantment,3,Netflix,73021
The Simpsons,34,Disney Plus,456
Loki,2,Disney Plus,84958
All the light we cannot see,1,Netflix,155421
Scott Pilgrim Takes Off,1,Netflix,155292
What..If?,2,Disney Plus,91363
